iter,loss,rmse
1,0.8043,1.5268
2,1.0679,1.4482
3,1.1951,1.3312
4,1.2674,1.2119
5,1.3135,1.1541
6,1.3443,1.1404
7,1.3655,1.0975
8,1.3797,1.0283
9,1.3905,1.0013
10,1.3988,0.9951
11,1.4062,1.0575
12,1.4117,1.0303
13,1.4162,1.0605
14,1.4196,0.9761
15,1.4215,0.9861
16,1.4225,0.9564
17,1.4230,0.9409
18,1.4235,0.9633
19,1.4233,0.9424
20,1.4229,0.9345
21,1.4220,0.9256
22,1.4208,0.9180
23,1.4195,0.9296
24,1.4186,0.9474
25,1.4168,0.9186
26,1.4149,0.9206
27,1.4129,0.9130
28,1.4107,0.9133
29,1.4086,0.9178
30,1.4064,0.9219
31,1.4042,0.9174
32,1.4019,0.9084
33,1.3995,0.9087
34,1.3974,0.9117
35,1.3952,0.9006
36,1.3932,0.9071
37,1.3909,0.8931
38,1.3889,0.9039
39,1.3869,0.8977
40,1.3850,0.9014
41,1.3832,0.9126
42,1.3812,0.8936
43,1.3793,0.8923
44,1.3776,0.8912
45,1.3761,0.8973
46,1.3743,0.8866
47,1.3729,0.9004
48,1.3713,0.8873
49,1.3697,0.8937
50,1.3684,0.9173
51,1.3668,0.8908
52,1.3654,0.8905
53,1.3640,0.8904
54,1.3626,0.8886
55,1.3613,0.8902
56,1.3599,0.8900
57,1.3584,0.8733
58,1.3569,0.8756
59,1.3556,0.8876
60,1.3543,0.8951
61,1.3530,0.8838
62,1.3517,0.8855
63,1.3504,0.8761
64,1.3491,0.8783
65,1.3480,0.8797
66,1.3467,0.8761
67,1.3455,0.8764
68,1.3444,0.8872
69,1.3432,0.8771
70,1.3421,0.8776
71,1.3410,0.8772
72,1.3399,0.8789
73,1.3388,0.8787
74,1.3378,0.8756
75,1.3368,0.8770
76,1.3357,0.8720
77,1.3347,0.8757
78,1.3337,0.8744
79,1.3327,0.8743
80,1.3319,0.8838
81,1.3309,0.8703
82,1.3300,0.8684
83,1.3290,0.8677
84,1.3282,0.8821
85,1.3273,0.8721
86,1.3264,0.8615
87,1.3255,0.8673
88,1.3247,0.8699
89,1.3238,0.8661
90,1.3229,0.8697
91,1.3221,0.8667
92,1.3213,0.8647
93,1.3205,0.8734
94,1.3197,0.8613
95,1.3189,0.8638
96,1.3181,0.8677
97,1.3173,0.8749
98,1.3166,0.8611
99,1.3158,0.8616
100,1.3151,0.8595
101,1.3144,0.8645
102,1.3137,0.8666
103,1.3131,0.8722
104,1.3124,0.8689
105,1.3118,0.8655
106,1.3111,0.8554
107,1.3105,0.8726
108,1.3099,0.8639
109,1.3091,0.8540
110,1.3085,0.8578
111,1.3079,0.8679
112,1.3073,0.8577
113,1.3066,0.8467
114,1.3060,0.8657
115,1.3054,0.8537
116,1.3048,0.8650
117,1.3042,0.8581
118,1.3037,0.8565
119,1.3031,0.8572
120,1.3026,0.8597
