iter,loss,rmse
1,0.8045,1.5341
2,1.0684,1.5472
3,1.2027,1.5115
4,1.2795,1.5407
5,1.3315,1.5344
6,1.3678,1.5300
7,1.3938,1.5181
8,1.4136,1.4864
9,1.4303,1.4523
10,1.4422,1.4833
11,1.4528,1.5034
12,1.4612,1.4927
13,1.4675,1.4623
14,1.4725,1.4297
15,1.4769,1.3840
16,1.4804,1.3897
17,1.4833,1.4165
18,1.4856,1.4029
19,1.4870,1.3497
20,1.4883,1.2721
21,1.4893,1.2282
22,1.4898,1.2631
23,1.4899,1.2655
24,1.4895,1.2538
25,1.4888,1.2268
26,1.4880,1.1372
27,1.4865,1.1263
28,1.4849,1.0796
29,1.4829,1.0642
30,1.4807,1.0379
31,1.4786,0.9943
32,1.4762,0.9757
33,1.4736,0.9964
34,1.4711,0.9599
35,1.4684,0.9404
36,1.4656,0.9404
37,1.4630,0.9570
38,1.4603,0.9658
39,1.4578,0.9710
40,1.4551,0.9354
41,1.4524,0.9194
42,1.4496,0.9092
43,1.4468,0.9102
44,1.4440,0.8984
45,1.4412,0.9019
46,1.4385,0.9093
47,1.4359,0.9319
48,1.4333,0.9113
49,1.4305,0.8899
50,1.4281,0.8930
51,1.4252,0.8754
52,1.4226,0.9151
53,1.4200,0.9024
54,1.4174,0.8913
55,1.4148,0.8796
56,1.4122,0.8698
57,1.4096,0.8674
58,1.4071,0.8712
59,1.4047,0.9001
60,1.4023,0.8877
61,1.4001,0.9080
62,1.3978,0.8698
63,1.3954,0.8653
64,1.3932,0.8719
65,1.3909,0.8645
66,1.3887,0.8583
67,1.3865,0.8560
68,1.3843,0.8619
69,1.3822,0.8618
70,1.3801,0.8561
71,1.3781,0.8511
72,1.3761,0.8510
73,1.3742,0.8562
74,1.3722,0.8547
75,1.3705,0.8676
76,1.3686,0.8511
77,1.3668,0.8442
78,1.3651,0.8511
79,1.3634,0.8439
80,1.3616,0.8410
81,1.3598,0.8376
82,1.3582,0.8469
83,1.3567,0.8533
84,1.3551,0.8303
85,1.3537,0.8435
86,1.3521,0.8401
87,1.3507,0.8440
88,1.3494,0.8524
89,1.3480,0.8360
90,1.3465,0.8438
91,1.3452,0.8358
92,1.3438,0.8299
93,1.3424,0.8282
94,1.3410,0.8224
95,1.3398,0.8436
96,1.3384,0.8226
97,1.3371,0.8252
98,1.3358,0.8270
99,1.3346,0.8232
100,1.3333,0.8214
101,1.3321,0.8209
102,1.3309,0.8204
103,1.3296,0.8139
104,1.3284,0.8100
105,1.3272,0.8138
106,1.3260,0.8122
107,1.3248,0.8113
108,1.3236,0.8155
109,1.3225,0.8081
110,1.3213,0.8088
111,1.3201,0.8050
112,1.3190,0.8019
113,1.3180,0.8144
114,1.3170,0.8225
115,1.3159,0.8034
116,1.3148,0.8027
117,1.3138,0.8015
118,1.3127,0.8031
119,1.3117,0.8011
120,1.3106,0.7960
121,1.3096,0.8005
122,1.3086,0.7989
123,1.3076,0.7978
124,1.3067,0.8094
125,1.3057,0.7972
126,1.3047,0.7986
127,1.3038,0.7974
128,1.3029,0.7993
129,1.3019,0.7864
130,1.3009,0.7886
131,1.3000,0.7876
132,1.2991,0.7938
133,1.2981,0.7864
134,1.2973,0.7971
135,1.2964,0.7834
136,1.2955,0.7925
137,1.2946,0.7838
138,1.2938,0.7877
139,1.2929,0.7923
140,1.2920,0.7812
141,1.2912,0.7852
142,1.2903,0.7889
143,1.2895,0.7926
144,1.2887,0.7869
145,1.2878,0.7770
146,1.2870,0.7793
147,1.2862,0.7860
148,1.2854,0.7840
149,1.2847,0.7814
150,1.2839,0.7781
151,1.2831,0.7797
152,1.2824,0.7848
153,1.2816,0.7857
154,1.2809,0.7745
155,1.2801,0.7756
156,1.2794,0.7749
157,1.2786,0.7686
158,1.2779,0.7684
159,1.2771,0.7747
160,1.2764,0.7728
161,1.2756,0.7683
162,1.2749,0.7638
163,1.2742,0.7727
164,1.2735,0.7738
165,1.2728,0.7671
166,1.2721,0.7666
167,1.2714,0.7738
168,1.2708,0.7739
169,1.2701,0.7641
170,1.2694,0.7672
171,1.2687,0.7682
172,1.2681,0.7668
173,1.2674,0.7597
174,1.2667,0.7657
175,1.2661,0.7655
176,1.2654,0.7622
177,1.2648,0.7636
178,1.2641,0.7577
179,1.2635,0.7633
180,1.2629,0.7590
181,1.2622,0.7558
182,1.2616,0.7573
183,1.2610,0.7564
184,1.2604,0.7700
185,1.2598,0.7522
186,1.2592,0.7627
187,1.2586,0.7600
188,1.2580,0.7564
189,1.2574,0.7554
190,1.2568,0.7575
191,1.2562,0.7520
192,1.2556,0.7645
193,1.2550,0.7557
194,1.2545,0.7608
195,1.2539,0.7556
196,1.2533,0.7495
197,1.2527,0.7455
198,1.2522,0.7573
199,1.2516,0.7492
200,1.2511,0.7453
201,1.2505,0.7503
202,1.2500,0.7514
203,1.2494,0.7522
204,1.2489,0.7508
205,1.2484,0.7514
206,1.2478,0.7487
207,1.2473,0.7439
208,1.2467,0.7405
209,1.2462,0.7425
210,1.2456,0.7414
211,1.2451,0.7432
212,1.2446,0.7414
213,1.2440,0.7420
214,1.2435,0.7368
215,1.2430,0.7381
216,1.2425,0.7425
217,1.2420,0.7393
218,1.2414,0.7376
219,1.2409,0.7410
220,1.2404,0.7529
221,1.2399,0.7512
222,1.2394,0.7380
223,1.2389,0.7386
224,1.2384,0.7391
225,1.2380,0.7410
226,1.2375,0.7260
227,1.2370,0.7330
228,1.2365,0.7363
229,1.2360,0.7295
230,1.2355,0.7267
231,1.2350,0.7368
232,1.2346,0.7351
233,1.2341,0.7345
234,1.2336,0.7365
235,1.2331,0.7277
236,1.2327,0.7289
237,1.2322,0.7264
238,1.2317,0.7296
239,1.2312,0.7235
240,1.2307,0.7246
241,1.2303,0.7214
242,1.2298,0.7300
243,1.2294,0.7342
244,1.2289,0.7289
