iter,loss,rmse
1,0.8047,1.5316
2,1.0706,1.5093
3,1.2000,1.4609
4,1.2725,1.3666
5,1.3155,1.2506
6,1.3413,1.1987
7,1.3662,1.2002
8,1.3795,1.1674
9,1.3875,1.1297
10,1.3944,1.1221
11,1.4002,1.1202
12,1.4053,1.1219
13,1.4084,1.0830
14,1.4102,1.0600
15,1.4110,1.0448
16,1.4121,1.0411
17,1.4126,1.0296
18,1.4128,1.0310
19,1.4125,1.0229
20,1.4121,1.0272
21,1.4117,1.0249
22,1.4112,1.0065
23,1.4108,1.0115
24,1.4103,1.0082
25,1.4098,1.0323
26,1.4092,1.0341
27,1.4086,1.0349
28,1.4080,1.0286
29,1.4073,1.0355
30,1.4069,1.0374
31,1.4063,1.0256
32,1.4057,1.0195
33,1.4051,1.0178
34,1.4046,1.0145
35,1.4040,1.0117
36,1.4035,1.0306
37,1.4030,1.0309
38,1.4024,1.0323
39,1.4019,1.0407
40,1.4015,1.0339
41,1.4011,1.0364
42,1.4006,1.0101
43,1.4001,1.0282
44,1.3996,1.0073
45,1.3992,0.9945
46,1.3987,0.9993
47,1.3982,1.0151
48,1.3976,0.9888
49,1.3971,1.0061
50,1.3966,0.9892
51,1.3960,0.9681
52,1.3955,0.9831
53,1.3950,0.9869
54,1.3945,0.9895
55,1.3941,0.9702
56,1.3936,0.9677
57,1.3931,0.9794
58,1.3926,0.9919
59,1.3921,0.9503
60,1.3916,0.9545
61,1.3911,0.9814
62,1.3907,0.9983
63,1.3902,0.9569
64,1.3897,0.9663
65,1.3892,0.9451
66,1.3887,0.9456
67,1.3882,0.9571
68,1.3877,0.9513
69,1.3872,0.9755
70,1.3868,0.9685
71,1.3864,0.9564
72,1.3860,0.9426
73,1.3855,0.9508
74,1.3850,0.9348
75,1.3846,0.9558
76,1.3842,0.9526
77,1.3837,0.9516
78,1.3833,0.9698
79,1.3828,0.9354
80,1.3823,0.9468
81,1.3818,0.9358
82,1.3814,0.9387
83,1.3809,0.9393
84,1.3805,0.9412
85,1.3800,0.9340
86,1.3795,0.9269
87,1.3790,0.9424
88,1.3786,0.9295
89,1.3781,0.9203
90,1.3776,0.9241
91,1.3771,0.9164
